City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
200,Dwarka,IN,64.4,fog,28.58,77.04,Radisson Blu New Delhi Dwarka
202,Shingu,JP,60.8,clear sky,33.72,135.99,新宮ユーアイホテル
203,Miri,NG,72.73,clear sky,10.31,9.75,G.R.A Male Hostel
204,Los Llanos De Aridane,ES,64.4,broken clouds,28.66,-17.92,Valle Aridane
208,Carballo,ES,51.01,light rain,43.21,-8.69,Pazo do Souto
209,Huancabamba,PE,50.34,overcast clouds,-5.24,-79.45,Hospedaje Chucao
210,Oyama,JP,62.01,few clouds,36.31,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
212,Ribeira Brava,PT,62.6,light intensity shower rain,32.65,-17.07,Hotel do Campo
218,Sitka,US,50.0,scattered clouds,37.17,-99.65,
219,Quanzhou,CN,69.8,broken clouds,24.9,118.59,Super 8 Hotel Quanzhou new station shop
222,Carangola,BR,64.17,overcast clouds,-20.73,-42.03,Hotel Fazenda Búfalos
226,Fukue,JP,63.0,few clouds,35.03,136.69,ホテル ファインガーデン 桑名長島店
227,Oda,JP,59.0,light intensity shower rain,35.19,132.5,Oda - Hotel / Vacation STAY 14332
230,Hasaki,JP,60.8,few clouds,35.73,140.83,Inubosaki Kanko Hotel
231,Fortuna,US,57.99,overcast clouds,40.6,-124.16,Bear River Casino Resort
240,Rocha,UY,53.53,few clouds,-34.48,-54.34,Beleza Pura B&B
242,New Norfolk,AU,60.01,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
243,Kabale,UG,54.3,overcast clouds,-1.26,29.99,Craterbay Cottages And Camp Lake Bunyonyi
248,Prado,CO,70.72,broken clouds,3.75,-74.93,Hotel Sol de Tomogo
252,Adrar,DZ,66.2,clear sky,27.87,-0.29,s.e.t.setif entenne d'adrar
253,Flinders,AU,73.99,broken clouds,-34.58,150.85,Shellharbour Resort & Conference Centre
265,Adre,TD,71.49,few clouds,13.47,22.2,
266,Nelson Bay,AU,73.99,scattered clouds,-32.72,152.14,Mantra Nelson Bay
279,Anderson,US,50.0,light rain,34.51,-82.65,The Bleckley Inn
285,Mar Del Plata,AR,58.75,overcast clouds,-46.43,-67.52,Hotel Costanera Del Sur
291,Constitucion,MX,59.0,clear sky,23.99,-104.67,Fiesta Inn Durango
292,Santa Maria,BR,69.8,broken clouds,-16.02,-48.01,Syros Hotel
295,Jobat,IN,71.58,clear sky,22.42,74.57,Amit Mourya
296,Cambrai,AU,66.99,scattered clouds,-34.65,139.28,Cambrai Hotel
301,Lompoc,US,66.0,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
302,Rawson,AR,61.59,broken clouds,-43.3,-65.11,Hotel Punta León
305,Flagstaff,US,66.99,clear sky,35.2,-111.65,Drury Inn & Suites Flagstaff
306,Yonezawa,JP,55.0,light intensity shower rain,37.88,140.12,Hotel Route-Inn Yonezawa Ekihigashi
307,Voi,KE,69.37,scattered clouds,-3.4,38.57,Voi Wildlife Lodge
311,Dayong,CN,69.8,broken clouds,25.02,118.29,Haiyue Express Hotel
