City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
53,Ballina,IE,2019-11-16 01:31:22,54.11,-9.15,37.99,99,84,2.01,broken clouds,0.0,0.0
54,Saint-Philippe,CA,2019-11-16 01:31:22,45.36,-73.48,28.99,53,1,21.92,light snow,0.0,0.0
55,Tateyama,JP,2019-11-16 01:31:22,36.66,137.31,53.01,81,75,3.36,light intensity shower rain,0.0,0.0
56,Carnarvon,ZA,2019-11-16 01:31:22,-30.97,22.13,58.71,51,0,7.49,clear sky,0.0,0.0
57,Acapulco,MX,2019-11-16 01:27:25,16.86,-99.88,82.4,74,75,9.17,broken clouds,0.0,0.0
58,Ust-Kuyga,RU,2019-11-16 01:31:23,70.0,135.55,-18.92,99,100,2.51,overcast clouds,0.0,0.0
59,Wolsztyn,PL,2019-11-16 01:31:23,52.11,16.12,48.99,93,45,13.87,scattered clouds,0.0,0.0
60,Kruisfontein,ZA,2019-11-16 01:31:23,-34.0,24.73,61.93,90,98,5.91,light rain,0.13,0.0
61,Leh,IN,2019-11-16 01:31:23,34.16,77.58,17.69,90,100,2.66,light snow,0.0,0.44
62,Yulara,AU,2019-11-16 01:31:23,-25.24,130.99,87.8,10,0,12.75,clear sky,0.0,0.0
63,Sur,OM,2019-11-16 01:31:24,22.57,59.53,70.14,40,0,3.0,clear sky,0.0,0.0
64,Katsuura,JP,2019-11-16 01:31:24,33.93,134.5,64.99,50,20,6.93,few clouds,0.0,0.0
65,Albany,US,2019-11-16 01:29:32,42.65,-73.75,41.0,60,90,10.29,overcast clouds,0.0,0.0
66,Komsomolskiy,RU,2019-11-16 01:31:24,67.55,63.78,19.15,97,100,11.34,snow,0.0,2.69
67,Hambantota,LK,2019-11-16 01:31:24,6.12,81.12,75.2,100,40,2.24,scattered clouds,0.0,0.0
68,Tiksi,RU,2019-11-16 01:31:25,71.64,128.87,-6.74,99,32,2.75,scattered clouds,0.0,0.0
69,Gasa,BT,2019-11-16 01:31:25,27.91,89.73,35.64,31,0,1.5,clear sky,0.0,0.0
70,Bosaso,SO,2019-11-16 01:31:25,11.28,49.18,79.38,76,0,15.95,clear sky,0.0,0.0
71,Kununurra,AU,2019-11-16 01:31:25,-15.77,128.74,93.2,49,32,5.82,scattered clouds,0.0,0.0
72,Nyakabindi,TZ,2019-11-16 01:31:25,-2.63,33.98,64.4,83,100,3.71,overcast clouds,0.0,0.0
73,Cherskiy,RU,2019-11-16 01:31:26,68.75,161.3,5.34,90,100,2.26,overcast clouds,0.0,0.0
74,Kloulklubed,PW,2019-11-16 01:31:26,7.04,134.26,82.4,83,90,5.82,overcast clouds,0.0,0.0
75,Abonnema,NG,2019-11-16 01:31:26,4.71,6.79,77.94,89,100,3.31,light rain,1.69,0.0
76,Grand-Santi,GF,2019-11-16 01:31:27,4.27,-54.38,72.66,98,16,1.23,light rain,1.31,0.0
77,Faanui,PF,2019-11-16 01:31:27,-16.48,-151.75,79.38,82,9,18.34,clear sky,0.0,0.0
78,Ushuaia,AR,2019-11-16 01:31:27,-54.81,-68.31,42.8,93,20,8.05,few clouds,0.0,0.0
79,Mount Gambier,AU,2019-11-16 01:30:17,-37.83,140.78,55.4,62,90,11.41,overcast clouds,0.0,0.0
80,Castro,CL,2019-11-16 01:31:27,-42.48,-73.76,51.8,87,33,10.29,scattered clouds,0.0,0.0
81,Ponta Do Sol,BR,2019-11-16 01:31:28,-20.63,-46.0,64.8,94,100,0.92,overcast clouds,0.0,0.0
82,Tuktoyaktuk,CA,2019-11-16 01:31:28,69.44,-133.03,-7.6,76,75,6.93,light snow,0.0,0.0
83,Chernyshevskiy,RU,2019-11-16 01:31:28,63.01,112.47,-13.88,91,99,5.37,overcast clouds,0.0,0.0
84,Thompson,CA,2019-11-16 01:31:28,55.74,-97.86,6.8,71,90,4.7,light snow,0.0,0.0
85,Mantua,IT,2019-11-16 01:31:28,45.16,10.79,51.01,100,75,2.24,fog,0.0,0.0
86,Georgetown,GY,2019-11-16 01:27:28,6.8,-58.16,82.4,78,40,4.7,scattered clouds,0.0,0.0
87,Fairbanks,US,2019-11-16 01:30:37,64.84,-147.72,7.0,50,90,12.75,overcast clouds,0.0,0.0
88,Mazyr,BY,2019-11-16 01:31:29,52.05,29.27,38.17,85,73,8.25,broken clouds,0.0,0.0
89,Haines Junction,CA,2019-11-16 01:31:29,60.75,-137.51,31.14,97,100,7.05,light snow,0.0,0.94
90,Kapaa,US,2019-11-16 01:31:29,22.08,-159.32,82.4,83,40,6.93,scattered clouds,0.0,0.0
91,Antanifotsy,MG,2019-11-16 01:31:30,-19.66,47.32,61.84,92,97,3.65,overcast clouds,0.0,0.0
92,Homer,US,2019-11-16 01:31:30,59.64,-151.54,44.01,93,90,4.7,moderate rain,0.0,0.0
93,Barrow,AR,2019-11-16 01:31:30,-38.31,-60.23,68.97,43,67,8.63,broken clouds,0.0,0.0
94,Ukiah,US,2019-11-16 01:31:30,39.15,-123.21,64.0,67,1,6.93,clear sky,0.0,0.0
95,Bolshoye Murashkino,RU,2019-11-16 01:31:31,55.78,44.78,31.66,83,100,10.78,overcast clouds,0.0,0.0
96,Pacific Grove,US,2019-11-16 01:31:31,36.62,-121.92,63.0,77,90,4.7,overcast clouds,0.0,0.0
97,Faya,SA,2019-11-16 01:31:31,18.39,42.45,55.4,76,9,1.12,clear sky,0.0,0.0
98,Saskylakh,RU,2019-11-16 01:31:31,71.97,114.09,-12.6,96,95,6.44,overcast clouds,0.0,0.0
99,Tabuk,PH,2019-11-16 01:31:31,17.41,121.44,80.28,79,4,15.79,light rain,0.44,0.0
100,Svetlogorsk,RU,2019-11-16 01:31:32,53.14,59.15,37.4,37,40,8.95,scattered clouds,0.0,0.0
101,Dagana,MR,2019-11-16 01:31:32,16.52,-15.51,77.0,53,67,7.65,broken clouds,0.0,0.0
102,Puerto Baquerizo Moreno,EC,2019-11-16 01:31:32,-0.9,-89.6,71.6,83,75,10.29,broken clouds,0.0,0.0
103,Kaitangata,NZ,2019-11-16 01:31:32,-46.28,169.85,55.0,84,43,5.01,light rain,2.63,0.0
104,Calabozo,VE,2019-11-16 01:27:09,8.92,-67.43,78.48,77,39,4.05,scattered clouds,0.0,0.0
105,Khatanga,RU,2019-11-16 01:31:33,71.98,102.47,-12.08,95,83,3.62,broken clouds,0.0,0.0
106,Lavrentiya,RU,2019-11-16 01:31:33,65.58,-170.99,25.74,76,52,24.54,broken clouds,0.0,0.0
107,Avera,US,2019-11-16 01:31:33,33.19,-82.53,48.2,100,90,11.41,light intensity drizzle,0.0,0.0
108,Pakxe,LA,2019-11-16 01:31:34,15.12,105.78,73.4,88,20,2.24,mist,0.0,0.0
109,Tucuman,PE,2019-11-16 01:31:34,-17.17,-70.89,51.53,79,0,2.82,clear sky,0.0,0.0
110,Kodinsk,RU,2019-11-16 01:31:34,58.6,99.18,-13.36,79,100,2.53,overcast clouds,0.0,0.0
111,Jardim,BR,2019-11-16 01:31:34,-21.48,-56.15,68.85,59,6,3.0,clear sky,0.0,0.0
112,Batemans Bay,AU,2019-11-16 01:31:34,-35.71,150.18,72.0,36,20,3.0,few clouds,0.06,0.0
113,Angoche,MZ,2019-11-16 01:31:35,-16.23,39.91,78.06,74,57,3.38,broken clouds,0.0,0.0
114,The Valley,AI,2019-11-16 01:27:14,18.22,-63.06,82.0,78,20,4.7,few clouds,0.0,0.0
115,Buraydah,SA,2019-11-16 01:31:35,26.33,43.97,62.6,93,75,2.24,broken clouds,0.0,0.0
116,Namibe,AO,2019-11-16 01:31:36,-15.19,12.15,71.74,75,83,14.7,broken clouds,0.0,0.0
